id,symbol,side,type,quantity,filled_quantity,entry_price,fill_price,slippage,entry_fee,exit_price,exit_fee,total_cost,total_proceeds,net_pnl,net_pnl_pct,status,created_at,filled_at,closed_at
PAPER-20260716150749-0019,CHR/USDT,BUY,MARKET,401337.79,0.0,0.01495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T15:07:49.732645+00:00,,
PAPER-20260716150749-0020,ATM/USDT,BUY,MARKET,843.2888,0.0,2.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T15:07:49.732979+00:00,,
PAPER-20260716151418-0021,CHR/USDT,BUY,MARKET,402414.49,0.0,0.01491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T15:14:18.354894+00:00,,
PAPER-20260716151418-0022,AGLD/USDT,BUY,MARKET,14176.02,0.0,0.1693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T15:14:18.355827+00:00,,
PAPER-20260716152104-0023,CHR/USDT,BUY,MARKET,401337.79,0.0,0.01495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T15:21:04.634073+00:00,,
PAPER-20260716152104-0024,ATM/USDT,BUY,MARKET,842.1053,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T15:21:04.634441+00:00,,
PAPER-20260716152742-0025,CHR/USDT,BUY,MARKET,399733.51,0.0,0.01501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T15:27:42.785416+00:00,,
PAPER-20260716152742-0026,TOWNS/USDT,BUY,MARKET,1148325.36,0.0,0.00209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T15:27:42.785568+00:00,,
PAPER-20260716153410-0027,CHR/USDT,BUY,MARKET,399201.6,0.0,0.01503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T15:34:10.786983+00:00,,
PAPER-20260716153410-0028,TOWNS/USDT,BUY,MARKET,1148325.36,0.0,0.00209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T15:34:10.787309+00:00,,
PAPER-20260716154038-0029,TOWNS/USDT,BUY,MARKET,2857142.86,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T15:40:38.407047+00:00,,
PAPER-20260716154038-0030,CHR/USDT,BUY,MARKET,159680.64,0.0,0.01503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T15:40:38.407275+00:00,,
PAPER-20260716160910-0001,TOWNS/USDT,BUY,MARKET,2857142.86,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T16:09:10.424630+00:00,,
PAPER-20260716160910-0002,CHR/USDT,BUY,MARKET,159680.64,0.0,0.01503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T16:09:10.424857+00:00,,
PAPER-20260716160910-0003,SKY/USDT,SELL,MARKET,29173.418999999998,29173.418999999998,0.06171851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1802.34,-100.0,CLOSED,2026-07-16T13:21:22.977217+00:00,2026-07-16T13:21:22.977217+00:00,2026-07-16T16:09:10.425019+00:00
PAPER-20260716160910-0004,SKY/USDT,SELL,MARKET,29173.418999999998,29173.418999999998,0.06171851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1802.34,-100.0,CLOSED,2026-07-16T13:21:22.977217+00:00,2026-07-16T13:21:22.977217+00:00,2026-07-16T16:09:10.425019+00:00
PAPER-20260716160910-0005,SKY/USDT,SELL,MARKET,38897.892,38897.892,0.06171851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2403.12,-100.0,CLOSED,2026-07-16T13:21:22.977217+00:00,2026-07-16T13:21:22.977217+00:00,2026-07-16T16:09:10.425019+00:00
PAPER-20260716160910-0006,SKY/USDT,SELL,MARKET,7.275957614183426e-12,7.275957614183426e-12,0.06171851,0.061699994447,1.8515552999999997e-05,0.0,0.061699994447,4.489265443917247e-16,0.0,4.48477617847333e-13,-0.0,-0.23,CLOSED,2026-07-16T13:21:22.977217+00:00,2026-07-16T13:21:22.977217+00:00,2026-07-16T16:09:10.425019+00:00
PAPER-20260716160911-0007,SUSHI/USDT,SELL,MARKET,4290.822,4290.822,0.16785034000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-720.94,-100.0,CLOSED,2026-07-16T13:21:24.509410+00:00,2026-07-16T13:21:24.509410+00:00,2026-07-16T16:09:11.646714+00:00
PAPER-20260716160911-0008,SUSHI/USDT,SELL,MARKET,4290.822,4290.822,0.16785034000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-720.94,-100.0,CLOSED,2026-07-16T13:21:24.509410+00:00,2026-07-16T13:21:24.509410+00:00,2026-07-16T16:09:11.646714+00:00
PAPER-20260716160911-0009,SUSHI/USDT,SELL,MARKET,5721.096,5721.096,0.16785034000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-961.25,-100.0,CLOSED,2026-07-16T13:21:24.509410+00:00,2026-07-16T13:21:24.509410+00:00,2026-07-16T16:09:11.646714+00:00
PAPER-20260716160912-0010,ZEN/USDT,SELL,MARKET,122.86296,122.86296,4.2782831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-526.17,-100.0,CLOSED,2026-07-16T13:35:00.197538+00:00,2026-07-16T13:35:00.197538+00:00,2026-07-16T16:09:12.757129+00:00
PAPER-20260716160912-0011,ZEN/USDT,SELL,MARKET,122.86296,122.86296,4.2782831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-526.17,-100.0,CLOSED,2026-07-16T13:35:00.197538+00:00,2026-07-16T13:35:00.197538+00:00,2026-07-16T16:09:12.757129+00:00
PAPER-20260716160912-0012,ZEN/USDT,SELL,MARKET,163.81728,163.81728,4.2782831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-701.56,-100.0,CLOSED,2026-07-16T13:35:00.197538+00:00,2026-07-16T13:35:00.197538+00:00,2026-07-16T16:09:12.757129+00:00
PAPER-20260716160912-0013,ZEN/USDT,SELL,MARKET,2.842170943040401e-14,2.842170943040401e-14,4.2782831,4.2897127,0.0012873,0.0,4.2897127,1.2192096789931384e-16,0.0,1.217990469314145e-13,0.0,0.07,CLOSED,2026-07-16T13:35:00.197538+00:00,2026-07-16T13:35:00.197538+00:00,2026-07-16T16:09:12.757129+00:00
PAPER-20260716161248-0001,TOWNS/USDT,BUY,MARKET,2857142.86,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T16:12:48.776082+00:00,,
PAPER-20260716161248-0002,CHR/USDT,BUY,MARKET,159680.64,0.0,0.01503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T16:12:48.776449+00:00,,
